"2"	"Smithville Ind School Dist"	"Smithville Independent School District"	"1"
"93"	"Mansfield Ind School District"	"Mansfield Independent School District"	"1"
"20"	"Everett Public School District"	"Everett Public School District"	"0"
"21"	"Cypress School District"	"Cypress School District"	"0"
"15"	"Gardner-edgerton Unif SD 231"	"Gardner-edgerton Unified School District 231"	"0"
"420"	"Greenburgh-north Castle SD"	"Greenburgh-north Castle School District"	"0"
"1"	"Altamont Cmty Unit SD 10"	"Altamont Community Unit School District 10"	"1"
"15"	"Harmony Area School District"	"Harmony Area School District"	"1"
"8"	"Reef-sunset Unified Sch Dist"	"Reef-sunset Unified School District"	"0"
"111"	"Fresno Unified School Dist"	"Fresno Unified School District"	"1"
"6"	"Bourbonnais Elem Sch Dist 53"	"Bourbonnais Elementary School District 53"	"0"
"197"	"Putnam Co School District"	"Putnam County School District"	"1"
"3"	"Darby School District 9"	"Darby School District 9"	"0"
"1"	"Shelley Joint School Dist 60"	"Shelley Joint School District 60"	"1"
"6"	"Grundy Co School District"	"Grundy County School District"	"1"
"2"	"Lemont-bromberek Sch Dist 113a"	"Lemont-bromberek School District 113a"	"0"
"9"	"Oroville City Elem Sch Dist"	"Oroville City Elementary School District"	"0"
"1"	"Kelton Ind School District"	"Kelton Independent School District"	"1"
"3"	"Denison Ind School District"	"Denison Independent School District"	"1"
"2"	"Easton Area School District"	"Easton Area School District"	"1"
"52"	"Altoona Area School District"	"Altoona Area School District"	"1"
"1"	"Lake Co School District 7"	"Lake County School District 7"	"0"
"33"	"Gadsden City School District"	"Gadsden City School District"	"1"
"34"	"Arkansas Dept of Education"	"Arkansas Dept of Education"	"0"
"1"	"Big Lake Ind School Dist 727"	"Big Lake Independent School District 727"	"0"
"4"	"Ellinwood Unified SD 355"	"Ellinwood Unified School District 355"	"0"
"10"	"Clinton City School District"	"Clinton City School District"	"0"
"7"	"Mattoon Cmty Unit Sch Dist 2"	"Mattoon Community Unit School District 2"	"1"
"6"	"Waynesboro Area Sch District"	"Waynesboro Area School District"	"1"
"18"	"Corning Painted Post Area SD"	"Corning Painted Post Area School District"	"0"
"119"	"Marysville Joint Unif Sch Dist"	"Marysville Joint Unified School District"	"1"
"2"	"Noble Local School District"	"Noble Local School District"	"1"
"1"	"Stephenson Area Public SD"	"Stephenson Area Public School District"	"0"
"42"	"Reynolds School District 7"	"Reynolds School District 7"	"1"
"21"	"Cushing Public Schools"	"Cushing Public Schools"	"1"
"2"	"West Liberty Cmty School Dist"	"West Liberty Community School District"	"1"
"9"	"North Boone Cmty Unit SD 200"	"North Boone Community Unit School District 200"	"1"
"33"	"Kingman Unified School Dist 20"	"Kingman Unified School District 20"	"0"
"17"	"Greenfield Union Sch District"	"Greenfield Union School District"	"0"
"1"	"Willard City School District"	"Willard City School District"	"1"
"1"	"Westhampton Beach Unified SD"	"Westhampton Beach Unified School District"	"0"
"79"	"Springfield SD R12"	"Springfield School District R12"	"0"
"2"	"Norwood Public School District"	"Norwood Public School District"	"1"
"1"	"Batesville School District"	"Batesville School District"	"1"
"1"	"Leechburg Area School District"	"Leechburg Area School District"	"1"
"57"	"Claremore School District"	"Claremore School District"	"0"
"30"	"Ball Chatham Cmty Unit SD 5"	"Ball Chatham Community Unit School District 5"	"0"
"1"	"Paoli Public Schools I 005"	"Paoli Public Schools I 005"	"0"
"7"	"Meramec Valley Sch Dist R3"	"Meramec Valley School District R3"	"0"
"18"	"Piscataway Twp School District"	"Piscataway Township School District"	"1"
"124"	"Santa Fe Public School Dist"	"Santa Fe Public School District"	"0"
"1"	"Ingleside Ind School District"	"Ingleside Independent School District"	"1"
"1"	"Hamburg School District"	"Hamburg School District"	"1"
"7"	"Trout Lake School Dist R-400"	"Trout Lake School District R-400"	"0"
"2"	"Madison Parish School Dist"	"Madison Parish School District"	"1"
"2"	"Palestine Ind School District"	"Palestine Independent School District"	"1"
"1"	"Ossining Union Free Sch Dist"	"Ossining Union Free School District"	"1"
"1"	"Ophir School District 72"	"Ophir School District 72"	"0"
"1"	"Farwell Area School District"	"Farwell Area School District"	"0"
"72"	"Altus Public School Dist 18"	"Altus Public School District 18"	"0"
"20"	"East Peoria Elem Sch Dist 86"	"East Peoria Elementary School District 86"	"0"
"3"	"Barnsdall School District 29"	"Barnsdall School District 29"	"0"
"2"	"Canton Ind School District"	"Canton Independent School District"	"1"
"3"	"Millington Cmty School Dist"	"Millington Community School District"	"0"
"2"	"Lassen Union High School Dist"	"Lassen Union High School District"	"0"
"1"	"Rockville Ctr Union Free SD"	"Rockville Center Union Free School District"	"0"
"210"	"Laclede Co School District R1"	"Laclede County School District R1"	"0"
"1"	"Lincolnview Local Sch District"	"Lincolnview Local School District"	"1"
"23"	"Hopkins Co School District"	"Hopkins County School District"	"1"
"3"	"Lamar School District R1"	"Lamar School District R1"	"0"
"15"	"Black Hawk School District"	"Black Hawk School District"	"1"
"2"	"Jefferson Central Sch Dist"	"Jefferson Central School District"	"1"
"1"	"South Burlington Sch Dist 16"	"South Burlington School District 16"	"0"
"2"	"Minco School District I-2"	"Minco School District I-2"	"0"
"34"	"Purcell School District 15"	"Purcell School District 15"	"0"
"7"	"Bristow Ind School District"	"Bristow Independent School District"	"0"
"4"	"Paxton-buckley-loda Cusd 10"	"Paxton-buckley-loda Cusd 10"	"0"
"2"	"Konawa School District 4"	"Konawa School District 4"	"0"
"156"	"Elyria City School District"	"Elyria City School District"	"1"
"26"	"Snowline Joint Unified SD"	"Snowline Joint Unified School District"	"1"
"13"	"Burnt Hills Ballston Lake SD"	"Burnt Hills Ballston Lake School District"	"0"
"2"	"Three Rivers Cmty School Dist"	"Three Rivers Community School District"	"0"
"1"	"North Star School District"	"North Star School District"	"1"
"5"	"Norton School District"	"Norton School District"	"1"
"9"	"Braymer School District C4"	"Braymer School District C4"	"0"
"23"	"Southbridge Pub Sch District"	"Southbridge Public School District"	"0"
"25"	"Shelbyville Central Sch Dist"	"Shelbyville Central School District"	"0"
"24"	"Long Hill Twp School District"	"Long Hill Township School District"	"0"
"4"	"Granby Public School District"	"Granby Public School District"	"0"
"78"	"Grand Rapids Pub Sch Dist"	"Grand Rapids Public School District"	"1"
"1"	"Hudson Ind School District"	"Hudson Independent School District"	"1"
"4"	"Hillsboro Ind School District"	"Hillsboro Independent School District"	"1"
"20"	"Donna Ind School District"	"Donna Independent School District"	"1"
"8"	"Willoughby Eastlake City SD"	"Willoughby Eastlake City School District"	"0"
"3"	"Schuyler-industry Cusd 5"	"Schuyler-industry Cusd 5"	"0"
"3"	"Norfork School District"	"Norfork School District"	"0"
